"s","time"
8.4375,1.6
27.656,1.602
43.281,1.604
48.375,1.606
42.531,1.608
30.188,1.61
17.062,1.612
9.4375,1.614
9.5938,1.616
11.406,1.618
8.9062,1.62
3.0938,1.622
-1.7188,1.624
-4.375,1.626
-5.5625,1.628
-3.125,1.63
6.0938,1.632
22.781,1.634
39.938,1.636
47.594,1.638
43.344,1.64
32.844,1.642
24.906,1.644
23.719,1.646
25.969,1.648
25.781,1.65
18.5,1.652
5.4375,1.654
-4.625,1.656
-5.9062,1.658
-1.5938,1.66
2.5938,1.662
4.9375,1.664
7.6875,1.666
11.5,1.668
14.875,1.67
16.062,1.672
12.906,1.674
7.0312,1.676
4.9688,1.678
11.438,1.68
24,1.682
34.156,1.684
37.688,1.686
35.406,1.688
27.656,1.69
12.469,1.692
-8.9375,1.694
-27.25,1.696
-31.812,1.698
-21.719,1.7
-6.7188,1.702
4.1875,1.704
10.562,1.706
17.562,1.708
29.688,1.71
46.156,1.712
61.469,1.714
69.188,1.716
65.656,1.718
53.188,1.72
35.344,1.722
15.375,1.724
-1.5,1.726
-11.938,1.728
-15.688,1.73
-13.656,1.732
-8.8438,1.734
-3.625,1.736
0.15625,1.738
5.1875,1.74
13.125,1.742
21.406,1.744
26.25,1.746
23.594,1.748
13.156,1.75
1.7812,1.752
-0.78125,1.754
9.8125,1.756
26.188,1.758
34.75,1.76
30.312,1.762
19.469,1.764
12.469,1.766
12.656,1.768
17.344,1.77
22.688,1.772
26,1.774
27.219,1.776
27.156,1.778
25.156,1.78
21.719,1.782
19.938,1.784
20.656,1.786
23.594,1.788
24.469,1.79
17.969,1.792
3.9375,1.794
-10.719,1.796
-18.312,1.798
-19.156,1.8
-16.938,1.802
-13.312,1.804
-8.8438,1.806
-5.0625,1.808
-3.4062,1.81
-0.78125,1.812
8.125,1.814
22,1.816
33.125,1.818
33.375,1.82
22.625,1.822
9.8125,1.824
5.875,1.826
11.469,1.828
15.531,1.83
13.562,1.832
10.75,1.834
10.25,1.836
10.062,1.838
6.125,1.84
-2.3125,1.842
-8.75,1.844
-7.6875,1.846
2.375,1.848
15.562,1.85
23.125,1.852
19.156,1.854
6.0625,1.856
-8.8438,1.858
-18.781,1.86
-21.75,1.862
-18.188,1.864
-6.1562,1.866
11.469,1.868
26.25,1.87
31.906,1.872
29.594,1.874
26.188,1.876
27.594,1.878
35.875,1.88
47.312,1.882
52.344,1.884
45.812,1.886
30.969,1.888
16.688,1.89
9.3125,1.892
7.375,1.894
6.9375,1.896
7.25,1.898
7.4062,1.9
7.6562,1.902
8.6875,1.904
10.594,1.906
14.812,1.908
21.625,1.91
30.531,1.912
40.406,1.914
44.312,1.916
35.844,1.918
14.656,1.92
-11.156,1.922
-25.625,1.924
-21.469,1.926
-5.7188,1.928
10.094,1.93
18.906,1.932
21.781,1.934
25.281,1.936
35.406,1.938
51.344,1.94
67.5,1.942
74.375,1.944
65.531,1.946
42.875,1.948
13.469,1.95
-13.031,1.952
-23.312,1.954
-11.812,1.956
10.125,1.958
25.594,1.96
26.844,1.962
16.562,1.964
4.3125,1.966
-0.0625,1.968
5.1875,1.97
13.344,1.972
19.281,1.974
21.031,1.976
21.469,1.978
22.594,1.98
23.562,1.982
23.5,1.984
23.75,1.986
27.562,1.988
34.094,1.99
34,1.992
22.344,1.994
3.4062,1.996
-10.969,1.998
-13.188,2
-4.7812,2.002
3.5938,2.004
1.75,2.006
-8.75,2.008
-18.031,2.01
-14.469,2.012
4,2.014
22.969,2.016
31.875,2.018
35.75,2.02
43.344,2.022
54.875,2.024
64.25,2.026
67.844,2.028
64,2.03
51.469,2.032
30.969,2.034
5.9688,2.036
-15.531,2.038
-26.281,2.04
-28.969,2.042
-29.312,2.044
-29,2.046
-26.031,2.048
-18.281,2.05
-6,2.052
12.25,2.054
33.594,2.056
52.406,2.058
61.625,2.06
58.281,2.062
47.375,2.064
32.438,2.066
16.438,2.068
6.7188,2.07
3.9062,2.072
3.25,2.074
2.5938,2.076
3.5938,2.078
7.3125,2.08
13.781,2.082
21.688,2.084
23.875,2.086
17.406,2.088
7.8438,2.09
5.5,2.092
12.781,2.094
19.875,2.096
19.812,2.098
16.062,2.1
13.281,2.102
13.094,2.104
13.594,2.106
9.5938,2.108
-2.75,2.11
-21.094,2.112
-29.25,2.114
-16.781,2.116
1.2188,2.118
5.8438,2.12
-5.2812,2.122
-15.344,2.124
-6.5,2.126
21.906,2.128
53.938,2.13
72.594,2.132
72.625,2.134
61.156,2.136
46.5,2.138
33.375,2.14
23.75,2.142
18.5,2.144
18.312,2.146
21.844,2.148
25.062,2.15
24.844,2.152
18.125,2.154
5.7812,2.156
-6.5312,2.158
-12.75,2.16
-7.7812,2.162
5.375,2.164
14.375,2.166
9.5312,2.168
-5.8438,2.17
-14.031,2.172
-4.5938,2.174
14.812,2.176
29.312,2.178
30.688,2.18
21.406,2.182
13,2.184
15.156,2.186
29.094,2.188
45.812,2.19
54.25,2.192
52.375,2.194
45.906,2.196
39.844,2.198
33.25,2.2
22.031,2.202
9.3438,2.204
4.1562,2.206
2.9062,2.208
-2.875,2.21
-12.969,2.212
-22.125,2.214
-26.219,2.216
-22.5,2.218
-9.0625,2.22
11.344,2.222
30.438,2.224
39.125,2.226
31.812,2.228
10.375,2.23
-10.875,2.232
-16.375,2.234
-0.65625,2.236
23.125,2.238
36.688,2.24
33.719,2.242
23.531,2.244
21.375,2.246
30.625,2.248
41.594,2.25
42.438,2.252
27.125,2.254
0.0625,2.256
-29.375,2.258
-49.875,2.26
-54.219,2.262
-41.625,2.264
-19,2.266
3.375,2.268
20.469,2.27
33.188,2.272
44.844,2.274
54.688,2.276
55.938,2.278
45.844,2.28
28.969,2.282
10.75,2.284
-8,2.286
-26.094,2.288
-40.344,2.29
-45.719,2.292
-42,2.294
-35,2.296
-27.188,2.298
-17.594,2.3
-2.8438,2.302
20.531,2.304
46.25,2.306
63.969,2.308
68.844,2.31
60.906,2.312
43.969,2.314
25.719,2.316
16.844,2.318
18.062,2.32
14.469,2.322
-2.8438,2.324
-24.906,2.326
-35.375,2.328
-28.406,2.33
-16.281,2.332
-10,2.334
-4.2812,2.336
10.344,2.338
32.344,2.34
50.656,2.342
58.125,2.344
55.219,2.346
48.156,2.348
41.344,2.35
33.531,2.352
23.469,2.354
16.375,2.356
12.938,2.358
3.6875,2.36
-14.281,2.362
-28.25,2.364
-23.719,2.366
-5.875,2.368
7.75,2.37
6.5625,2.372
-5.9375,2.374
-16.094,2.376
-10.094,2.378
8.25,2.38
25.406,2.382
31.719,2.384
25.875,2.386
14.594,2.388
10.188,2.39
19.188,2.392
31.531,2.394
33.094,2.396
23,2.398
13.188,2.4
7.3438,2.402
-0.65625,2.404
-9.1562,2.406
-8.6875,2.408
-0.28125,2.41
7.7812,2.412
9.9062,2.414
6.5938,2.416
2.4688,2.418
-3.375,2.42
-17.188,2.422
-34.5,2.424
-43.375,2.426
-35.875,2.428
-13.5,2.43
10.25,2.432
26.219,2.434
37.062,2.436
49.406,2.438
64.75,2.44
78.25,2.442
82.938,2.444
74.594,2.446
49.469,2.448
5.9375,2.45
-43.156,2.452
-72.969,2.454
-65.844,2.456
-30.562,2.458
5.1875,2.46
19.438,2.462
15.438,2.464
15.844,2.466
34.906,2.468
63.719,2.47
80.469,2.472
67.656,2.474
30.156,2.476
-6.9062,2.478
-23.406,2.48
-19.656,2.482
-6.5312,2.484
2.8125,2.486
5.4688,2.488
10.844,2.49
22.031,2.492
32.625,2.494
37.156,2.496
35.844,2.498
31.062,2.5
23.125,2.502
16.75,2.504
16.562,2.506
17.812,2.508
13.844,2.51
6.8125,2.512
3.125,2.514
7.5625,2.516
16.531,2.518
20.625,2.52
12.906,2.522
-1.25,2.524
-10.375,2.526
-13.219,2.528
-14.094,2.53
-12.5,2.532
-5.3125,2.534
9.4375,2.536
27.812,2.538
42.844,2.54
51.969,2.542
55.844,2.544
55.75,2.546
49.688,2.548
37.156,2.55
24.812,2.552
18.344,2.554
13.594,2.556
3.5938,2.558
-10.562,2.56
-20.844,2.562
-21.688,2.564
-12.906,2.566
-3.5938,2.568
-2.8125,2.57
-6.2812,2.572
-0.875,2.574
15.094,2.576
29.281,2.578
27.781,2.58
9.375,2.582
-13.688,2.584
-19.188,2.586
0.9375,2.588
29.906,2.59
47.062,2.592
45.781,2.594
29,2.596
6.9688,2.598
-6.0625,2.6
-1.7188,2.602
12.062,2.604
23.406,2.606
30.188,2.608
34.688,2.61
36.562,2.612
33.938,2.614
28.656,2.616
25.5,2.618
20.844,2.62
9.8125,2.622
-5.5625,2.624
-16.719,2.626
-15.594,2.628
-7.5312,2.63
-0.1875,2.632
10.344,2.634
27.375,2.636
42.469,2.638
43.219,2.64
34.188,2.642
30.188,2.644
36.25,2.646
46.375,2.648
50.875,2.65
43.406,2.652
24.344,2.654
2.4375,2.656
-10.094,2.658
-16.656,2.66
-31.75,2.662
-52.062,2.664
-55.375,2.666
-30,2.668
6.125,2.67
28.344,2.672
30.719,2.674
28.75,2.676
34.812,2.678
46,2.68
51.969,2.682
48.719,2.684
38.031,2.686
19.906,2.688
-3.375,2.69
-21.156,2.692
-19.125,2.694
2.3438,2.696
30.031,2.698
50.5,2.7
51.531,2.702
25.344,2.704
-14.156,2.706
-41.062,2.708
-45.969,2.71
-38.062,2.712
-23.656,2.714
-4.5,2.716
11.594,2.718
22.094,2.72
34.906,2.722
52.344,2.724
66.625,2.726
65.625,2.728
49.062,2.73
30.188,2.732
19.219,2.734
12.156,2.736
1.5938,2.738
-7.9062,2.74
-5.25,2.742
10.938,2.744
32.906,2.746
48.594,2.748
51.781,2.75
45.469,2.752
34.844,2.754
22.562,2.756
9.0938,2.758
-3.4062,2.76
-9.25,2.762
-7.5625,2.764
-1.875,2.766
2.5625,2.768
-4.9062,2.77
-24.406,2.772
-33.938,2.774
-22.594,2.776
-0.71875,2.778
18.812,2.78
30.156,2.782
32.812,2.784
34.344,2.786
40.594,2.788
45.344,2.79
40.781,2.792
30.062,2.794
22.031,2.796
19.406,2.798
15.094,2.8
6.125,2.802
-1.7188,2.804
-2.25,2.806
2.5938,2.808
3.4688,2.81
-2.4062,2.812
